ART.NR SUPPLIER,PRODUCT,CPG,ARTICLE GROUP,EAN nr
106881,Ögon bakpulver 170g,12,BAK OCH DESSERT,6416453068810
106886,Ögon Vaniljsocker 120g,12,BAK OCH DESSERT,6416453068865
476290,Ögon Vit Choklad 100g,12,BAK OCH DESSERT,7310350120154
851060,Ögon Ljus Choklad 250g,12,BAK OCH DESSERT,7310678510668
851061,Ögon Mörk Choklad 250g,12,BAK OCH DESSERT,7310676113007
851065,Ögon 100g ljus bakchoklad,12,BAK OCH DESSERT,7310676290005
851066,Ögon 70 % Premium Choklad 100g,12,BAK OCH DESSERT,7310676290005
855557,Ögon 100g choklad halvpall,12,BAK OCH DESSERT,7310676290005
855577,Ögon 100g choklad prepack,12,BAK OCH DESSERT,7310676290005
855581,Ögon 175g halvpall,12,BAK OCH DESSERT,7310676290005
855596,Ögon 250g halvpall,12,BAK OCH DESSERT,7310676290005
856113,Ögon Mörk Block 175g,12,BAK OCH DESSERT,7310676290005
856114,Ögon Ljus Block 175g,12,BAK OCH DESSERT,7310676290005
856212,Ögon Cacao 400g,12,BAK OCH DESSERT,7310676290005
856231,Ögon cacao 200g,12,BAK OCH DESSERT,7310676290005
401507,Karl Fazer Mjölkchoklad 100 g,12,KAKOR UPP TILL 100G,7310676290005
401510,Karl Fazer hackade hasselnötter 100g,12,KAKOR UPP TILL 100G,7310676290005
401512,Karl Fazer Marianne Crisp 100g,12,KAKOR UPP TILL 100G,7310676290005
401554,Dumle Original 100g,12,KAKOR UPP TILL 100G,7310676290005
401583,Salmiakki 100g,12,KAKOR UPP TILL 100G,7310676290005
401590,Geisha Original 100g,12,KAKOR UPP TILL 100G,7310676290005
401827,Karl Fazer 100g Vit och ljus choklad,12,KAKOR UPP TILL 100G,7310676290005
858546,Fazer Chokladkakor 100g mixat prepack,12,KAKOR UPP TILL 100G,7310676290005
858557,Geisha 100g halvpall,12,KAKOR UPP TILL 100G,7310676290005
858576,Fazer chokladkakor 100g mixad halvpall,12,KAKOR UPP TILL 100G,7310676290005
401509,Karl Fazer Mjölkchoklad 200 g,12,STORKAKOR,7310676290005
401513,Karl Fazer hackade hasselnötter 200g,12,STORKAKOR,7310676290005
401533,Karl Fazer Marianne Crisp 200g,12,STORKAKOR,7310676290005
401586,Karl Fazer Dark 200g,12,STORKAKOR,7310676290005
401641,Karl Fazer Christmas Spices & Biscuit 200g,12,STORKAKOR,7310676290005
401669,Karl Fazer Salty Toffee Crunch 200g,12,STORKAKOR,7310676290005
401699,Karl Fazer Salty Popcorn 200g,12,STORKAKOR,7310676290005
401821,Karl Fazer Travel 130g Toffee Rocks,12,STORKAKOR,7310676290005
401822,Karl Fazer Travel 130g Iced coffee and mudcake,12,STORKAKOR,7310676290005
401823,Karl Fazer Travel 130g Raspberry Liquorice,12,STORKAKOR,7310676290005
401824,Karl Fazer Travel 130g Mint and Choco drops,12,STORKAKOR,7310676290005
851641,Karl Fazer Christmas Spices & Biscuit 200g Prepack,12,STORKAKOR,7310676290005
851669,Karl Fazer Salty Toffee Crunch 200g Prepack,12,STORKAKOR,7310676290005
851670,Karl Fazer Salty Toffee Crunch mixad halvpall,12,STORKAKOR,7310676290005
851821,Karl Fazer Travel 130g Toffee Rocks Prepack,12,STORKAKOR,7310676290005
851822,Karl Fazer Travel 130g prepack,12,STORKAKOR,7310676290005
856900,Karl Fazer 200g mixad halvpall,12,STORKAKOR,7310676290005
856901,Mixad HP KF 200g EXPO halvpall,12,STORKAKOR,7310676290005
401607,Karl Fazer Mjölkchoklad 320g Box,12,GÅVA OCH SÄSONG,7310676290005
401654,Karl Fazer Dark 47% 320g Box,12,GÅVA OCH SÄSONG,7310676290005
402421,Wienernougat 210g,12,GÅVA OCH SÄSONG,7310676290005
402590,Geisha Selection,12,GÅVA OCH SÄSONG,7310676290005
403754,Dumle Gingerbread 220g,12,GÅVA OCH SÄSONG,7310676290005
404132,Marianne Mix 320g Box,12,GÅVA OCH SÄSONG,7310676290005
404231,Gröna Kulor 500g,12,GÅVA OCH SÄSONG,7310676290005
404233,Fazer Finlandia 500g marmelad,12,GÅVA OCH SÄSONG,7310676290005
407157,Geisha 350 g Box,12,GÅVA OCH SÄSONG,7310676290005
407158,Fazer Liquer Fills 350 g  Box,12,GÅVA OCH SÄSONG,7310676290005
407159,Fazermint 350 g Box,12,GÅVA OCH SÄSONG,7310676290005
407176,Fazerina 350g Box,12,GÅVA OCH SÄSONG,7310676290005
407179,Dumle 350g box,12,GÅVA OCH SÄSONG,7310676290005
407197,Fazer Julchoklad 320g Box,12,GÅVA OCH SÄSONG,7310676290005
407211,Marianne drop box 200g,12,GÅVA OCH SÄSONG,7310676290005
407270,Geisha 150g,12,GÅVA OCH SÄSONG,7310676290005
853456,Geisha och Wienernougat halvpall,12,GÅVA OCH SÄSONG,7310676290005
858531,Fazer Boxar mixad halvpall 5 sorter,12,GÅVA OCH SÄSONG,7310676290005
858544,Fazer boxar 3 sorter mixad hp,12,GÅVA OCH SÄSONG,7310676290005
401757,Dumle Snack 40g,12,STYCKSAKER,7310676290005
401901,Karl Fazer Mjölkchoklad 39g,12,STYCKSAKER,7310676290005
401902,Geisha Original 37g,12,STYCKSAKER,7310676290005
401937,Dumle Snacks Cola 40g,12,STYCKSAKER,7310676290005
701472,Kina Wafer,12,STYCKSAKER,7310676290005
701475,Kina Wafer loves Marianne,12,STYCKSAKER,7310676290005
851900,Dumle Snacks Cola Limited Prepack,12,STYCKSAKER,7310676290005
851901,Dumle Snacks Limited Prepack,12,STYCKSAKER,7310676290005
856260,Dumle snack stycksak Prepack,12,STYCKSAKER,7310676290005
402100,Dumle Original 3kg,12,LÖSVIKT,7310676290005
402102,Dumle Lakrits 3kg,12,LÖSVIKT,7310676290005
402103,Karl Fazer Mjölkchoklad 3kg,12,LÖSVIKT,7310676290005
402104,Geisha Original 3kg,12,LÖSVIKT,7310676290005
402105,Liqueur Fills 3kg,12,LÖSVIKT,7310676290005
402106,Fazermint 3kg,12,LÖSVIKT,7310676290005
402192,"Amerikanska Linser 2,4kg",12,LÖSVIKT,7310676290005
402922,"Tyrkisk Peber 2,2kg",12,LÖSVIKT,7310676290005
403051,"Marianne Original 2,5kg",12,LÖSVIKT,7310676290005
403053,"Marianne Toffee 2,5kg",12,LÖSVIKT,7310676290005
403103,"Tutti Frutti 2,2 kg",12,LÖSVIKT,7310676290005
403115,Tutti Frutti Rings 1.7 kg loosweight,12,LÖSVIKT,7310676290005
403132,"Tutti Frutti Ocean mix 2,2kg",12,LÖSVIKT,7310676290005
403134,"TF Passion 2,2 P&M",12,LÖSVIKT,7310676290005
403875,Skolekridt,12,LÖSVIKT,7310676290005
856856,"Prickar Cocos 1,00kg",12,LÖSVIKT,7310676290005
402818,Tyrkisk Peber Hot Stones 150g,12,STORPÅSAR,7310676290005
402822,Tyrkisk Peber Hot & Sour 150g,12,STORPÅSAR,7310676290005
402835,Tyrkisk Peber Original 150 g,12,STORPÅSAR,7310676290005
403512,Liqueur Fills 220g,12,STORPÅSAR,7310676290005
403612,Tutti Frutti Original 300g,12,STORPÅSAR,7310676290005
403636,Tutti Frutti Original 180g,12,STORPÅSAR,7310676290005
403637,Tutti Frutti Rings 180g,12,STORPÅSAR,7310676290005
403638,Tutti Frutti Passion 180g,12,STORPÅSAR,7310676290005
403639,Tutti Frutti Mix 180g,12,STORPÅSAR,7310676290005
403641,Tutti Frutti Sour 180g,12,STORPÅSAR,7310676290005
403642,Marianne Original 220g,12,STORPÅSAR,7310676290005
403660,Kina Wafer Snacks 160g,12,STORPÅSAR,7310676290005
403671,Marianne Toffee 220g,12,STORPÅSAR,7310676290005